Tratamentos,REP,COL,CERC,FERR
CONTR,1,1,2,2
CONTR,2,1,2,1
CONTR,3,1,1,1
CONTR,4,1,2,2
CONTR,5,1,2,1
CONTR,6,1,1,1
CONTR,7,1,2,1
CONTR,8,1,2,1
CONTR,9,1,2,1
CONTR,10,1,2,2
CONTR,11,1,2,1
CONTR,12,1,2,1
CONTR,13,1,1,2
CONTR,14,1,2,2
CONTR,15,1,2,1
CONTR,16,1,2,1
CONTR,17,1,2,2
CONTR,18,1,3,3
CONTR,19,1,2,1
CONTR,20,1,1,2
CONTR,21,1,2,1
CONTR,22,1,2,1
CONTR,23,1,3,1
CONTR,24,1,2,2
CONTR,25,1,2,1
CONTR,26,1,1,2
CONTR,27,1,1,2
CONTR,28,1,2,2
CONTR,29,1,1,1
CONTR,30,1,1,1
CONTR,31,1,1,2
CONTR,32,1,3,1
CONTR,33,1,2,1
CONTR,34,1,1,1
CONTR,35,1,2,1
CONTR,36,1,2,1
CONTR,37,1,2,1
CONTR,38,1,1,1
CONTR,39,1,2,2
CONTR,40,1,2,1
CONTR,41,1,2,3
CONTR,42,1,1,2
CONTR,43,1,2,1
CONTR,44,1,1,2
CONTR,45,1,1,1
CONTR,46,1,3,1
CONTR,47,1,1,2
CONTR,48,1,1,1
CONTR,49,1,2,1
CONTR,50,1,2,1
CONTR,51,1,2,1
CONTR,52,1,2,1
CONTR,53,1,1,2
CONTR,54,1,2,1
CONTR,55,1,2,1
CONTR,56,1,2,1
CONTR,57,1,2,1
CONTR,58,1,2,1
CONTR,59,1,1,1
CONTR,60,1,2,1
CONTR,61,1,3,1
CONTR,62,1,2,1
CONTR,63,1,2,2
CONTR,64,1,2,2
CONTR,65,1,2,1
CONTR,66,1,2,1
CONTR,67,1,2,2
CONTR,68,1,2,1
CONTR,69,1,4,1
CONTR,70,1,2,1
CONTR,71,1,3,1
CONTR,72,1,2,2
CONTR,73,1,2,1
CONTR,74,1,2,1
CONTR,75,1,3,1
CONTR,76,1,2,1
CONTR,77,1,3,2
CONTR,78,1,2,1
CONTR,79,1,1,1
CONTR,80,1,2,1
CONTR,81,1,4,1
CONTR,82,1,2,1
CONTR,83,1,3,1
CONTR,84,1,2,1
CONTR,85,1,1,2
CONTR,86,1,1,1
CONTR,87,1,4,1
CONTR,88,1,2,1
CONTR,89,1,4,1
CONTR,90,1,1,1
CONTR,91,1,2,1
CONTR,92,1,3,1
CONTR,93,1,1,2
CONTR,94,1,2,1
CONTR,95,1,5,1
CONTR,96,1,2,1
CONTR,97,1,1,2
CONTR,98,1,2,1
CONTR,99,1,1,1
CONTR,100,1,2,1
CALDA,1,1,1,1
CALDA,2,1,2,1
CALDA,3,1,2,1
CALDA,4,1,2,1
CALDA,5,1,2,1
CALDA,6,1,1,2
CALDA,7,1,2,2
CALDA,8,1,3,1
CALDA,9,1,1,1
CALDA,10,1,2,3
CALDA,11,1,1,2
CALDA,12,1,1,1
CALDA,13,1,1,1
CALDA,14,1,1,2
CALDA,15,1,2,1
CALDA,16,1,1,1
CALDA,17,1,1,1
