Tratamentos,CERC,FERR
CONTR,1,1
CONTR,1,0
CONTR,0,0
CONTR,1,1
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,0,1
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,1,1
CONTR,2,2
CONTR,1,0
CONTR,0,1
CONTR,1,0
CONTR,1,0
CONTR,2,0
CONTR,1,1
CONTR,1,0
CONTR,0,1
CONTR,0,1
CONTR,1,1
CONTR,0,0
CONTR,0,0
CONTR,0,1
CONTR,2,0
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,0,0
CONTR,1,1
CONTR,1,0
CONTR,1,2
CONTR,0,1
CONTR,1,0
CONTR,0,1
CONTR,0,0
CONTR,2,0
CONTR,0,1
CONTR,0,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,0,1
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,2,0
CONTR,1,0
CONTR,1,1
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,1,1
CONTR,1,0
CONTR,3,0
CONTR,1,0
CONTR,2,0
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,2,0
CONTR,1,0
CONTR,2,1
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,3,0
CONTR,1,0
CONTR,2,0
CONTR,1,0
CONTR,0,1
CONTR,0,0
CONTR,3,0
CONTR,1,0
CONTR,3,0
CONTR,0,0
CONTR,1,0
CONTR,2,0
CONTR,0,1
CONTR,1,0
CONTR,4,0
CONTR,1,0
CONTR,0,1
CONTR,1,0
CONTR,0,0
CONTR,1,0
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CALDA,0,1
CALDA,1,1
CALDA,2,0
CALDA,0,0
CALDA,1,2
CALDA,0,1
CALDA,0,0
CALDA,0,0
CALDA,0,1
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,1,1
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,1
CALDA,0,0
CALDA,0,1
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,1
CALDA,0,1
CALDA,2,0
CALDA,1,0
CALDA,1,2
CALDA,2,0
CALDA,0,0
CALDA,3,0
CALDA,1,0
CALDA,0,0
CALDA,0,2
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,1,1
CALDA,0,0
CALDA,1,0
CALDA,3,0
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,0,1
CALDA,1,0
CALDA,1,0
CALDA,3,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CALDA,2,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,2,0
CALDA,1,0
CALDA,1,1
CALDA,0,1
CALDA,1,2
CALDA,2,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CALDA,1,0
CONTR,2,1
CONTR,1,2
CONTR,0,0
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,0,2
CONTR,2,0
CONTR,0,2
CONTR,2,0
CONTR,0,0
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,1,2
CONTR,1,1
CONTR,1,0
CONTR,1,0
CONTR,1,1
CONTR,0,1
CONTR,0,0
CONTR,0,0
CONTR,0,1
CONTR,0,0
CONTR,1,2
CONTR,1,0
CONTR,0,1
CONTR,0,2
CONTR,0,1
CONTR,1,1
CONTR,1,0
CONTR,0,0
CONTR,0,1
CONTR,2,0
CONTR,2,0
CONTR,0,1
CONTR,1,1
CONTR,0,0
CONTR,1,1
CONTR,0,1
CONTR,2,0
CONTR,1,0
CONTR,1,2
CONTR,1,2
CONTR,1,0
CONTR,1,0
CONTR,1,0
CONTR,0,0
CONTR,1,0
CONTR,0,2
CONTR,2,0
CONTR,1,2
CONTR,0,1
CONTR,2,2
CONTR,0,1
CONTR,1,0
CONTR,0,1
CONTR,3,1
CONTR,0,0
CONTR,0,1
CONTR,1,0
CONTR,1,0
CONTR,0,1
CONTR,1,0
CONTR,3,0
CONTR,0,2
CONTR,2,1
CONTR,1,2
CONTR,0,1
CONTR,0,2
CONTR,1,0
CONTR,2,2
CONTR,1,1
CONTR,0,0
CONTR,2,1
CONTR,1,1
CONTR,1,3
CONTR,0,1
CONTR,1,2
CONTR,0,1
CONTR,1,1
CONTR,1,2
CONTR,0,1
CONTR,1,0
CONTR,1,0
CONTR,1,1
CONTR,3,0
CONTR,1,0
CONTR,0,1
CONTR,1,2
CONTR,0,1
CONTR,0,2
CONTR,1,1
CONTR,0,1
CONTR,0,0
CONTR,0,1
CALDA,0,0
CALDA,0,0
CALDA,1,0
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,0,0
CALDA,1,0
CALDA,2,1
CALDA,0,1
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,0,1
CALDA,1,1
CALDA,0,1
CALDA,0,0
CALDA,0,0
CALDA,1,2
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,1,3
CALDA,0,1
CALDA,0,1
CALDA,0,0
CALDA,1,1
CALDA,1,0
CALDA,1,0
CALDA,0,1
CALDA,0,0
CALDA,1,0
CALDA,1,0
CALDA,0,0
CALDA,1,0
CALDA,0,1
CALDA,1,1
CALDA,2,0
CALDA,0,0
CALDA,1,0
CALDA,2,0
CALDA,1,2
CALDA,2,0
CALDA,1,0
CALDA,0,0
CALDA,1,3
CALDA,0,1
CALDA,1,0
CALDA,2,0
CALDA,1,2
CALDA,0,1
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,1
CALDA,0,0
CALDA,1,0
CALDA,0,0
CALDA,0,0
CALDA,0,2
CALDA,0,0
CALDA,1,4
CALDA,0,0
CALDA,1,1
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,0,0
CALDA,2,0
CALDA,1,1
CALDA,0,2
CALDA,0,3
CALDA,1,3
CALDA,0,3
CALDA,0,2
CALDA,1,1
CALDA,0,1
CALDA,1,1
CALDA,0,1
CALDA,0,0
CALDA,1,0
CALDA,0,2
CALDA,0,1
CALDA,1,2
CALDA,0,1
CALDA,0,2
CALDA,0,1
CALDA,0,1
CALDA,0,0
CALDA,0,1
CALDA,0,1
CALDA,0,0
CALDA,0,2
CONTR,1,0
CONTR,1,1
CONTR,0,0
CONTR,0,0
CONTR,0,0
CONTR,0,2
CONTR,2,1
CONTR,1,2
CONTR,1,1
CONTR,0,0
CONTR,1,1
CONTR,1,1
CONTR,0,1
CONTR,1,2
CONTR,0,1
CONTR,1,0
CONTR,0,1
CONTR,3,1
CONTR,0,1
CONTR,0,0
CONTR,0,1
CONTR,2,0
CONTR,0,1
CONTR,0,1
CONTR,1,0
CONTR,0,0
CONTR,0,1
CONTR,1,0
CONTR,0,1
CONTR,0,1
CONTR,0,0
