Tratamentos,CERC,FERR
CONTR,2,2
CONTR,2,1
CONTR,1,1
CONTR,2,2
CONTR,2,1
CONTR,1,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,2,2
CONTR,2,1
CONTR,2,1
CONTR,1,2
CONTR,2,2
CONTR,2,1
CONTR,2,1
CONTR,2,2
CONTR,3,3
CONTR,2,1
CONTR,1,2
CONTR,2,1
CONTR,2,1
CONTR,3,1
CONTR,2,2
CONTR,2,1
CONTR,1,2
CONTR,1,2
CONTR,2,2
CONTR,1,1
CONTR,1,1
CONTR,1,2
CONTR,3,1
CONTR,2,1
CONTR,1,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,1,1
CONTR,2,2
CONTR,2,1
CONTR,2,3
CONTR,1,2
CONTR,2,1
CONTR,1,2
CONTR,1,1
CONTR,3,1
CONTR,1,2
CONTR,1,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,1,2
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,1,1
CONTR,2,1
CONTR,3,1
CONTR,2,1
CONTR,2,2
CONTR,2,2
CONTR,2,1
CONTR,2,1
CONTR,2,2
CONTR,2,1
CONTR,4,1
CONTR,2,1
CONTR,3,1
CONTR,2,2
CONTR,2,1
CONTR,2,1
CONTR,3,1
CONTR,2,1
CONTR,3,2
CONTR,2,1
CONTR,1,1
CONTR,2,1
CONTR,4,1
CONTR,2,1
CONTR,3,1
CONTR,2,1
CONTR,1,2
CONTR,1,1
CONTR,4,1
CONTR,2,1
CONTR,4,1
CONTR,1,1
CONTR,2,1
CONTR,3,1
CONTR,1,2
CONTR,2,1
CONTR,5,1
CONTR,2,1
CONTR,1,2
CONTR,2,1
CONTR,1,1
CONTR,2,1
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CALDA,1,2
CALDA,2,2
CALDA,3,1
CALDA,1,1
CALDA,2,3
CALDA,1,2
CALDA,1,1
CALDA,1,1
CALDA,1,2
CALDA,2,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,2,1
CALDA,1,1
CALDA,1,1
CALDA,2,2
CALDA,2,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,2
CALDA,1,1
CALDA,1,2
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,1,2
CALDA,1,2
CALDA,3,1
CALDA,2,1
CALDA,2,3
CALDA,3,1
CALDA,1,1
CALDA,4,1
CALDA,2,1
CALDA,1,1
CALDA,1,3
CALDA,1,1
CALDA,2,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,2,2
CALDA,1,1
CALDA,2,1
CALDA,4,1
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,1,2
CALDA,2,1
CALDA,2,1
CALDA,4,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CALDA,3,1
CALDA,1,1
CALDA,1,1
CALDA,1,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,3,1
CALDA,2,1
CALDA,2,2
CALDA,1,2
CALDA,2,3
CALDA,3,1
CALDA,2,1
CALDA,1,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CALDA,2,1
CONTR,3,2
CONTR,2,3
CONTR,1,1
CONTR,2,1
CONTR,2,1
CONTR,2,1
CONTR,1,3
CONTR,3,1
CONTR,1,3
CONTR,3,1
CONTR,1,1
CONTR,2,1
CONTR,1,1
