Tratamentos,REP,CERC,FERR
CALDA,1,1,1
CALDA,2,1,1
CALDA,3,1,5,1
CALDA,4,2,1
CALDA,5,2,1
CALDA,6,1,1
CALDA,7,1,1
CALDA,8,2,1
CALDA,9,1,1
CALDA,10,1,2
CALDA,11,1,2
CALDA,12,1,5,2
CALDA,13,1,1
CALDA,14,1,2
CALDA,15,1,2
CALDA,16,1,5,1
CALDA,17,1,1
CALDA,18,1,1
CALDA,19,1,2
CALDA,20,1,3
CONTR,1,2,1
CONTR,2,2,1
CONTR,3,2,1
CONTR,4,2,1
CONTR,5,2,1
CONTR,6,2,1
CONTR,7,1,1,5
CONTR,8,2,1,5
CONTR,9,2,2
CONTR,10,2,2
CONTR,11,1,5,2
CONTR,12,1,2
CONTR,13,2,2
CONTR,14,2,2
CONTR,15,1,2
CONTR,16,1,1
CONTR,17,1,2
CONTR,18,1,5,2
CONTR,19,1,2
CONTR,20,1,2
